pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_000067.pdb,-510.096094,-1130.096184,-295.770075,-7174.392995,-101.676,-55920.529743
S_000068.pdb,-466.288443,-989.470804,-283.201684,-6951.36312,-106.603,-51302.664134
S_000069.pdb,-570.790794,-1285.323762,-321.672284,-9398.795259,-134.335,-59647.509792
S_000070.pdb,-513.913561,-1144.975908,-298.268616,-8033.943342,-34.8795,-55844.088345
S_000071.pdb,-507.073429,-1119.03148,-308.036731,-6936.827874,-61.8692,-54903.695791
S_000072.pdb,-527.603874,-1150.06545,-301.966138,-9118.334461,-94.9798,-57256.594782
S_000073.pdb,-432.409063,-998.517461,-274.622622,-6411.060145,-74.1657,-52215.7391
S_000074.pdb,-569.422015,-1182.797978,-328.331848,-8652.233945,-114.227,-59259.187185
S_000075.pdb,-586.32672,-1194.739552,-326.632055,-9357.139895,-141.856,-59527.778457
S_000076.pdb,-436.889098,-941.511318,-273.275708,-7712.245361,-55.3357,-52626.455004
S_000077.pdb,-505.404925,-1036.650731,-290.123567,-7690.105305,-101.101,-53292.356799
S_000078.pdb,-497.852931,-1092.217216,-305.646227,-7517.454053,-85.3156,-54679.593742
S_000079.pdb,-545.248391,-1148.578366,-313.798873,-8668.381069,-86.622,-57744.855596
S_000080.pdb,-525.667728,-1104.912968,-297.986914,-8017.581692,-94.369,-56841.116624
S_000081.pdb,-573.996155,-1235.138835,-320.26566,-9230.218612,-114.703,-59297.183765
S_000082.pdb,-536.891665,-1125.690868,-311.259998,-8808.662248,-94.3689,-57830.595562
S_000083.pdb,-544.114591,-1156.918314,-302.162031,-8537.969021,-127.929,-58725.030665
S_000084.pdb,-565.959669,-1182.486553,-307.924711,-8335.915862,-128.788,-57513.68419
S_000085.pdb,-530.391719,-1143.595508,-312.843117,-7935.235698,-75.7724,-58524.988525
S_000086.pdb,-557.533333,-1242.637823,-322.056544,-9085.773512,-131.767,-56987.877172
